Bi-gram,Frequency
co,58734
.c,56937
om,53841
ne,14665
in,13953
s.,13258
et,12853
or,12636
er,11712
e.,11237
an,8907
on,8476
ar,8260
st,8200
re,8180
te,8172
t.,8016
.n,7965
es,7678
o.,7281
en,6937
al,6914
li,6765
a.,6749
de,6567
ra,6533
n.,6410
at,6280
me,6188
ma,6150
ta,6047
it,5862
.i,5743
r.,5652
le,5523
m.,5498
ti,5496
rg,5462
ro,5455
to,5450
ru,5406
ic,5314
lo,5297
se,5186
la,5105
.o,5086
nt,5022
ed,4959
ca,4907
io,4907
ri,4879
as,4822
am,4709
ch,4616
el,4481
tr,4419
.r,4344
ng,4302
ve,4232
ns,4219
go,4209
y.,4172
ac,4154
d.,4067
di,3977
ea,3973
is,3920
ec,3902
na,3868
ou,3839
po,3833
si,3791
l.,3774
ad,3765
nd,3758
ap,3741
ho,3691
he,3634
os,3576
us,3492
il,3490
vi,3434
rt,3429
ai,3412
ni,3389
ia,3389
pa,3386
mo,3365
ce,3360
ol,3286
oo,3272
th,3242
be,3222
ov,3185
c.,3134
ot,3082
un,3069
ga,3044
ha,3039
i.,3036
id,3031
da,3013
ur,2991
ge,2989
no,2959
ba,2957
g.,2940
cl,2900
dn,2874
br,2873
pl,2871
sa,2864
k.,2855
pr,2834
p.,2814
pe,2805
sh,2787
.g,2782
ll,2765
mi,2686
.b,2680
ir,2664
.a,2640
sp,2608
op,2607
fo,2568
do,2560
so,2506
.e,2491
im,2476
ee,2466
em,2459
rs,2454
bi,2421
ie,2408
v.,2408
ss,2388
fi,2385
ts,2362
ke,2309
bo,2299
du,2235
sc,2231
ck,2199
.d,2192
hi,2159
ag,2150
nc,2117
.t,2111
u.,2086
fr,2077
.u,2076
pi,2062
iv,2062
x.,2044
b.,2040
ay,2035
ud,2019
od,2009
og,2006
oc,1997
ig,1994
nl,1991
bl,1989
ex,1976
ab,1961
ut,1939
we,1920
eb,1909
h.,1882
pp,1865
ci,1862
ob,1845
.p,1837
tu,1834
au,1829
su,1828
jp,1827
ew,1819
ct,1805
.j,1799
lu,1794
ki,1766
ip,1762
gr,1759
ws,1754
rn,1745
wa,1736
ep,1707
uk,1679
ub,1662
gi,1638
ka,1604
.s,1586
.m,1546
nk,1532
fa,1511
ds,1507
rd,1500
ow,1497
rk,1480
wi,1473
av,1455
wo,1452
rc,1451
cd,1444
cn,1443
.f,1430
ok,1412
tv,1411
cr,1396
tt,1372
eg,1364
lt,1358
ty,1339
up,1338
ev,1335
ly,1317
eo,1293
nf,1292
hu,1287
ld,1281
va,1269
my,1260
mp,1255
ul,1253
bu,1245
tc,1245
ak,1245
rv,1222
um,1218
ls,1212
of,1202
ry,1201
sk,1185
ms,1183
fe,1182
rm,1168
gl,1150
ps,1147
if,1127
ua,1127
ys,1109
ib,1107
s-,1099
cu,1087
ik,1069
nn,1066
ei,1065
sm,1061
aw,1061
az,1059
tw,1048
ya,1035
rl,1031
eu,1017
ko,1012
ue,1011
dr,1004
af,989
sd,978
cs,971
fl,971
ph,954
iz,951
pu,949
cc,948
e-,942
ks,932
oi,919
pt,918
vo,917
uc,899
za,888
ui,873
ef,867
.l,866
bs,860
mu,858
ze,855
ja,853
w.,850
oa,843
gu,827
-c,804
qu,802
ox,800
-s,795
ix,793
n-,791
sl,791
yo,791
ft,786
ek,781
xx,774
f.,759
z.,749
gs,744
ey,742
gh,740
tl,740
jo,738
fu,735
sy,728
tb,728
rb,727
tm,725
mb,720
zo,718
ht,695
1.,688
rp,686
rr,686
nu,662
t-,645
ku,642
aa,636
kr,632
4.,630
lm,625
ah,624
yt,606
tp,605
dc,604
sn,600
ff,599
ny,594
ye,591
mm,587
lc,582
2.,575
.h,567
xy,564
-a,564
eh,562
sb,559
by,559
np,558
zi,555
.k,551
.v,548
tn,547
yp,545
sw,540
yc,539
dg,535
lp,534
24,534
a-,524
oy,517
nb,517
dd,514
ax,512
xi,511
yn,510
.x,504
hr,504
nh,499
dm,498
db,489
xp,484
-m,484
ao,481
oe,481
yz,479
-p,477
tf,473
lb,466
xt,465
rf,464
3.,461
ug,458
-d,457
pc,457
ky,455
mc,454
nv,454
hs,453
vn,452
dl,449
lk,449
gn,448
bc,447
ym,445
kt,444
8.,442
je,441
sg,440
ae,439
dy,438
cz,438
nm,438
ju,436
5.,429
-t,427
sr,427
gg,422
0.,418
sf,416
df,415
yb,413
oh,408
iu,404
td,401
mx,399
7.,398
dp,397
mg,387
cy,387
dt,383
r-,378
o-,377
-i,376
hd,371
tg,368
i-,364
9.,362
kl,360
yl,355
ji,354
ez,350
lf,348
bb,346
uz,344
-b,342
xc,341
nz,340
mt,340
gt,337
wh,331
aj,328
gc,325
yu,324
lv,317
wn,315
dv,314
hn,310
xn,309
nr,308
gm,308
-n,306
36,304
l-,302
sv,301
88,299
gy,298
cp,296
pk,296
oj,296
oz,295
yd,295
pn,293
cm,293
lg,292
uy,290
dk,286
d-,286
md,285
xa,284
pd,283
yf,279
zz,278
bg,278
.z,276
pm,276
.w,274
q.,273
-g,272
yi,271
-e,269
10,265
hc,265
rw,265
bd,264
dw,263
nw,262
kn,262
-o,261
77,260
dh,259
-l,259
12,258
y-,256
gd,256
ii,254
pb,253
fy,253
c-,252
hy,251
hl,251
kh,250
cb,250
00,249
mr,249
tk,248
-r,246
-h,245
ln,243
uf,243
fs,241
kc,240
6.,239
fc,239
mn,238
ml,237
xe,235
nx,234
j.,233
bn,231
nj,229
yr,228
rh,228
vs,228
ih,227
bt,226
k-,226
yg,225
gp,225
kz,224
km,223
py,220
hw,219
uo,218
p-,218
fm,215
hk,214
kp,211
yw,210
g-,209
hm,208
xs,207
gb,205
vc,203
bh,202
ux,201
yh,199
pg,198
wp,197
vp,195
lr,193
zu,193
kb,191
-f,190
65,188
tz,187
cf,187
cg,185
m-,185
ij,184
23,183
iq,181
lh,181
11,176
vr,176
xo,175
hp,175
ej,174
lw,172
bm,170
--,170
iw,170
wt,168
ww,168
wc,166
wr,166
01,166
iy,166
uv,164
vt,164
99,164
kk,163
hb,163
pf,161
20,159
sq,159
mh,156
-u,155
x-,154
kd,153
js,153
bp,153
xv,151
xb,149
s2,148
mf,145
-w,145
xm,145
rz,142
wb,141
fd,140
vu,140
u-,140
e2,138
h-,138
kf,136
18,135
gw,135
dz,134
wf,134
xl,133
vd,133
pw,132
eq,132
tj,131
60,131
wd,130
kw,130
xh,130
b-,129
wl,129
kg,128
uj,128
zh,127
uh,127
gf,127
mk,124
uw,122
s1,121
zy,119
-k,118
vm,118
mw,118
dx,117
bf,115
v-,115
fp,114
21,113
mv,111
wm,109
-1,109
xf,107
zn,107
a2,106
cv,106
vl,106
zd,106
-2,106
t2,104
02,104
lx,104
zl,103
xu,102
yv,101
16,101
fb,101
sz,100
xd,98
yk,98
dj,98
hq,98
rj,98
hh,97
fn,97
rx,97
hg,97
cw,97
vg,96
-v,96
tx,96
o2,94
-5,94
uu,93
sx,93
3d,93
qi,92
pv,92
aq,92
a1,91
e3,91
66,91
e1,91
47,90
-4,90
55,89
zt,89
zm,88
cx,88
13,88
kv,87
fw,85
fg,85
wy,83
zb,83
19,83
22,83
t1,82
lz,82
hf,82
-3,82
vb,81
f-,81
-0,80
n2,80
vk,79
2c,79
bz,79
bk,79
68,78
34,78
sj,78
gk,77
33,77
mz,76
25,76
vy,75
bx,75
69,75
bw,74
qa,74
w-,74
30,73
wg,73
bj,73
zc,73
t3,72
jd,71
gv,71
zs,71
a3,70
s3,70
4u,70
wu,70
2b,70
p2,70
vh,70
nq,69
4d,68
px,67
lj,67
zp,67
z-,66
bv,66
p1,66
wk,66
n3,66
r2,66
o1,65
1x,65
-j,65
jc,65
p3,64
zw,64
b2,64
fh,64
jm,64
fx,63
s4,62
n1,62
k1,62
32,62
-z,61
1a,61
x1,61
xg,61
d1,61
3c,60
d2,58
hv,58
yj,57
vv,57
zk,57
89,57
80,56
14,56
1c,56
c2,55
42,55
15,54
jt,53
jk,53
i2,53
x2,53
17,52
91,51
50,51
qs,51
qo,51
jr,51
oq,50
cq,50
c1,49
jn,49
51,49
vf,49
cj,48
45,48
52,48
jy,48
mj,48
7d,48
xr,48
pj,48
37,48
40,47
03,47
k2,47
08,47
m2,47
r1,47
2p,47
qc,46
35,46
gz,46
yx,46
qt,46
e4,45
kj,45
90,45
39,45
26,45
o3,45
g1,44
v2,44
78,44
44,44
a4,44
53,44
e8,44
m1,44
t4,43
4c,43
98,42
c3,42
l2,42
qr,42
gx,42
uq,41
4s,41
b4,41
72,41
41,41
jb,40
1t,40
s0,40
n8,40
31,40
wj,40
d3,39
59,39
1-,39
zv,39
y1,39
2s,39
t7,39
gj,39
zf,39
vz,39
ql,39
y2,39
i1,38
kx,38
2g,38
xw,38
2m,38
vw,38
-x,38
hj,38
g2,38
l3,37
yy,37
1b,37
43,37
58,37
81,37
28,37
l1,37
3a,37
27,36
2d,36
a8,36
29,36
h2,36
tq,36
rq,36
56,36
04,36
zr,35
r3,35
7s,35
h1,35
a7,35
4a,35
09,35
jl,34
1s,34
fk,34
0a,34
0b,34
3s,34
jf,34
jw,34
r4,34
n4,34
o7,34
48,34
1p,34
b1,34
t9,33
f2,33
wz,33
-6,33
05,33
63,33
84,33
07,32
4m,32
e7,32
wv,32
4f,32
wx,32
qw,31
7c,31
v1,31
92,31
s8,31
38,31
zg,30
-y,30
s5,30
83,30
87,30
1g,30
f3,30
2a,30
64,30
p4,30
1d,29
-7,29
49,29
5c,29
4p,29
5m,29
pz,29
46,29
f1,29
67,28
y4,28
-8,28
qq,28
d4,28
61,28
2-,28
4t,28
4h,28
82,28
w3,28
8c,27
06,27
2e,27
hx,27
n7,27
4b,27
0m,27
76,26
b3,26
8s,26
96,26
4g,26
e5,26
s7,26
vx,26
jh,26
62,26
h3,26
fv,26
74,25
71,25
73,25
jg,25
qb,25
m3,25
x3,25
85,25
7b,24
2n,24
yq,24
jj,24
8b,24
1w,24
54,24
57,24
t6,24
